Student_ID,Student_Feedback_Score,Teacher_Feedback_Score,Parent_Feedback_Score
dd89819c-c803-46fd-90c0-5d077f388d87,3.7136071147677763,4.499561487032057,3.315351866881077
2db28777-6da3-43c0-be5d-8d0511272e30,3.8601712154322234,4.984053199555333,4.061951069813176
69f27f94-99a5-4e2b-b4c6-bf5ac5aeb200,3.1425315806879093,3.265990215868251,3.3915395809061604
837b56d3-430b-4d68-82d2-99c0489ecebd,3.2238316324338436,4.430590791896076,4.2784402786293425
a9ec2254-34d3-4d7a-9c4a-808ac60ff9ab,4.247383366607219,4.958166386067051,3.2626850516700796
090714fe-1d8f-4741-bfbd-f8a371d8229f,4.368136754792877,3.9251860544889396,3.2973876213315707
581cd6cc-bbd4-4de3-a3a4-8bcae8ab803f,4.273240830533929,4.466820886852025,3.656410483255864
db03aa12-224f-45e7-a529-6d05153b55b8,4.526150794794411,4.9507413010908605,3.803812848145661
628ff5af-f14b-49b3-bcd9-a912377950d1,4.887068042955481,4.094969787811992,3.9971193010347745
0f624936-2733-48da-845e-7796a21bb8e8,4.72123661378531,4.3980831894062025,4.161413740014083
8286774c-973f-4790-b605-aa8c022dbdee,3.837019158742487,3.0401696200241917,3.937627639627764
cef1e10f-e7ce-481e-9edb-6f32c5e8f881,3.4350862738425505,4.039330211252889,3.091277444235884
3a4e7d69-6457-4499-8d14-12ce3982f0a5,3.6237044232025024,3.511600812083884,3.6869207538375925
bb226c58-f708-405f-bc59-6dd53e3d0a6e,4.175482975890584,3.2624892847010845,3.1227638909337285
60489568-32fd-47cf-a90e-4f04a1d448b3,4.712416668915134,4.417196169362656,3.2361675487373205
e86e1d96-6284-4918-93f8-30544b6e4f78,4.403448247015094,3.078178977816684,3.185647135522782
379c4711-dd40-4035-96d2-ad78006ad335,4.086026209538135,4.809730303154115,3.3161910742371097
fdbde3ac-fdcd-4cfd-b5c2-a18c2b7e1b9a,4.203756719120069,4.035547319741685,4.625841066713119
d4aeb74d-9152-4fc8-9536-506c028519b9,4.056522427456609,4.296460230378758,4.25514479327454
7d566350-3804-4885-9ecf-7833311bd61d,4.94325502265926,3.506869598252533,4.013561820173036
0c450b87-fa21-4f3e-8193-cc8121f15881,4.6321829045111205,3.3643860373785843,4.464515025490136
8bd69e38-2661-4e85-9b84-4b586e0c2acb,4.562554430802297,3.487507242224028,4.922447552074951
b3501463-a1ec-4438-98d6-d23d5922134e,4.034657973727464,3.464585982008587,3.8353502905572023
e24209f9-bdd3-4313-ad99-71111056efc4,3.6636189151390823,4.729003256586903,3.7348238851706315
d777ce28-2679-4ed8-bfe5-dd5999e6da17,3.039028188675521,4.574678802924897,4.95554712800928
e443f48e-f12e-4799-9932-4f54272af600,3.0868600487194398,4.705473068248064,4.542660730720273
451df54b-12d4-4aad-9d11-dcaa6196e48e,3.06047585032489,4.469744087316796,4.554222452696034
84c83630-746c-479a-9acd-9bae58adb238,4.96095353355545,4.287100722928843,4.199884590043975
d47e82ca-3e6f-415f-b5ee-a6bfeb14716b,3.2289646769357807,4.055749379461337,4.014016857922578
08aaeed9-34d0-456e-a2a9-32b1cb1b3e28,3.2842377059516163,3.5309636527598176,4.10118342049687
a60d745f-7a29-41b6-8a10-537dc32fb59c,3.9682999749162002,4.410725915454232,4.304170101383423
