Age,Gender,Grade_Level,Math_Grade,Science_Grade,English_Grade,History Grade,Geography Grade,Economics Grade,Art Grade,IT Grade,Standardized_Test_Score,Attendance_Rate,Study_Time_Hours,Assignment_Completion_Rate,Course_Enrollment,Class_Schedule,Extracurricular_Participation,Disciplinary_Incidents,Interactions_with_Peers,Participation_in_Events,Engagement_in_Extracurriculars,Student_Feedback_Score,Teacher_Feedback_Score,Parent_Feedback_Score,Average_Grade,Success,Predicted_At_Risk
24,1,0,79.80586108055897,89.51669573416102,63.1886029274914,85.05037098649707,72.91604274311604,95.99933107514616,60.17127031344415,70.94782063865395,649.4512859470715,0.715291620645667,14.228980519564594,0.936298461874726,5,2,0,1,39,2,0.9469685000290742,3.713607114767776,4.499561487032057,3.315351866881077,77.1994994373836,1,1
21,1,1,79.22346309306592,80.85796096667521,87.32457142892187,86.76214061267791,79.2509580731042,87.52697746889054,95.41755057449222,70.77383516244417,700.7151911043225,0.973640770576955,7.465109018424016,0.758076497725022,6,1,1,3,16,0,0.4996407230018329,3.860171215432224,4.984053199555333,4.061951069813176,83.392182172534,1,1
22,0,1,83.6963113863807,62.73834877334312,97.30266834823844,65.05133890338276,84.69417003952267,99.4389727074208,62.65963180699066,92.7727504938786,660.499210022452,0.9649615605620386,5.307837675687729,0.9596888607898908,5,0,0,4,12,0,0.8101458487437901,3.1425315806879093,3.265990215868251,3.3915395809061604,81.04427405739472,1,1
24,1,1,92.98723863700596,74.84451753720512,83.02661011989679,97.83105988985388,76.19643257079376,90.68050119923078,98.1218634463938,88.42668983771341,649.9143455412104,0.9912394447818016,16.74896298184664,0.7042708507337946,1,2,1,1,41,0,0.5429508837845403,3.223831632433844,4.430590791896076,4.278440278629343,87.7643641547617,1,1
20,0,2,73.91236831608772,96.83066433853428,65.04461289501643,65.3029630993793,67.93490159390805,97.6789772857436,71.2730271639874,99.26437709328056,779.277003974764,0.9149581528664216,6.195571091681886,0.7572887035216944,4,2,1,2,14,1,0.5239770913231728,4.247383366607219,4.958166386067051,3.26268505167008,79.65523647324217,1,1
22,1,1,87.12064610236254,83.37795639029704,83.26886109893907,90.98691748727194,98.46561969261217,68.64754295481902,75.28139321645084,88.46051601247274,598.2280531536417,0.9048163533205908,7.115763816053548,0.8019791051160339,7,2,1,1,25,0,0.2333046592266781,4.368136754792877,3.92518605448894,3.2973876213315707,84.45118161940317,1,1
22,1,1,82.62927855983165,81.53327773022853,90.6538885241861,70.59265287113276,80.45870160170469,90.85939499267704,63.66552820702911,76.73022213024191,618.1513359095278,0.8677009210224492,13.62245040283536,0.9570461336356126,4,2,0,3,45,0,0.8660796498537275,4.273240830533929,4.466820886852025,3.656410483255864,79.64036807712897,1,1
24,0,2,70.68113080677685,70.75414057528774,76.25666146296075,97.34372574805006,89.35681481150802,60.8087008059119,64.49091033315638,87.95710643780868,724.6343752190905,0.7377827249057568,14.052582551744296,0.9475029726420224,2,1,1,3,49,0,0.1705197524928711,4.526150794794411,4.9507413010908605,3.803812848145661,77.20614887268253,1,1
19,1,3,95.14519945420632,74.73795679666316,95.19350991765872,88.79838157477919,76.44188774224233,86.83040086846135,89.06962260917278,99.97836268745608,634.9454339292033,0.756770593284781,15.303306778885975,0.8297420281215512,2,2,1,2,46,0,0.3792349851877373,4.887068042955481,4.094969787811992,3.9971193010347754,88.27441520632999,1,1
20,1,3,91.89704086427712,95.81384356612676,85.94731813429458,90.15254851913475,74.20527056102866,78.77129112480965,97.77328942993168,88.40567530250112,666.4663110087613,0.7868409066017609,10.90271018995431,0.6887102039123563,3,2,1,3,33,2,0.7061212645481615,4.72123661378531,4.3980831894062025,4.161413740014083,87.87078468776303,1,1
24,0,0,86.33807338633702,86.65852190107343,95.9699567315681,68.76236692239533,76.286571938685,73.87040287680274,84.42993979817238,90.46725423921274,417.0843430983212,0.9670469087720184,16.608480034502342,0.76134278869515,6,2,0,0,35,2,0.5565317957272269,3.837019158742487,3.040169620024192,3.937627639627764,82.84788597428084,1,1
