Student_ID,Age,Gender,Grade_Level
dd89819c-c803-46fd-90c0-5d077f388d87,24,Male,Freshman
2db28777-6da3-43c0-be5d-8d0511272e30,21,Male,Junior
69f27f94-99a5-4e2b-b4c6-bf5ac5aeb200,22,Female,Junior
837b56d3-430b-4d68-82d2-99c0489ecebd,24,Male,Junior
a9ec2254-34d3-4d7a-9c4a-808ac60ff9ab,20,Female,Senior
090714fe-1d8f-4741-bfbd-f8a371d8229f,22,Male,Junior
581cd6cc-bbd4-4de3-a3a4-8bcae8ab803f,22,Male,Junior
db03aa12-224f-45e7-a529-6d05153b55b8,24,Female,Senior
628ff5af-f14b-49b3-bcd9-a912377950d1,19,Male,Sophomore
0f624936-2733-48da-845e-7796a21bb8e8,20,Male,Sophomore
8286774c-973f-4790-b605-aa8c022dbdee,24,Female,Freshman
cef1e10f-e7ce-481e-9edb-6f32c5e8f881,20,Female,Sophomore
3a4e7d69-6457-4499-8d14-12ce3982f0a5,20,Female,Junior
bb226c58-f708-405f-bc59-6dd53e3d0a6e,22,Male,Sophomore
60489568-32fd-47cf-a90e-4f04a1d448b3,21,Male,Sophomore
e86e1d96-6284-4918-93f8-30544b6e4f78,20,Female,Sophomore
379c4711-dd40-4035-96d2-ad78006ad335,23,Female,Sophomore
fdbde3ac-fdcd-4cfd-b5c2-a18c2b7e1b9a,22,Female,Freshman
d4aeb74d-9152-4fc8-9536-506c028519b9,19,Male,Senior
7d566350-3804-4885-9ecf-7833311bd61d,21,Male,Junior
0c450b87-fa21-4f3e-8193-cc8121f15881,23,Female,Senior
8bd69e38-2661-4e85-9b84-4b586e0c2acb,23,Male,Junior
b3501463-a1ec-4438-98d6-d23d5922134e,19,Female,Freshman
e24209f9-bdd3-4313-ad99-71111056efc4,21,Female,Freshman
d777ce28-2679-4ed8-bfe5-dd5999e6da17,22,Female,Freshman
e443f48e-f12e-4799-9932-4f54272af600,18,Female,Senior
451df54b-12d4-4aad-9d11-dcaa6196e48e,21,Female,Freshman
84c83630-746c-479a-9acd-9bae58adb238,19,Female,Junior
d47e82ca-3e6f-415f-b5ee-a6bfeb14716b,23,Male,Freshman
08aaeed9-34d0-456e-a2a9-32b1cb1b3e28,22,Female,Sophomore
a60d745f-7a29-41b6-8a10-537dc32fb59c,21,Male,Senior
924fae9b-04b3-4f5d-8796-fd9f259fa788,18,Female,Junior
